iter	Passed	Remaining
604	19245	12564
605	19277	12533
606	19309	12501
607	19340	12469
608	19371	12437
609	19400	12403
610	19432	12372
611	19470	12343
612	19502	12312
613	19530	12278
614	19559	12244
615	19588	12210
616	19616	12176
617	19679	12164
618	19722	12139
619	19750	12105
620	19782	12073
621	19822	12046
622	19876	12027
623	19918	12002
624	19955	11973
625	19999	11948
626	20031	11916
627	20101	11907
628	20209	11920
629	20234	11883
630	20334	11891
631	20374	11863
632	20430	11845
633	20469	11816
634	20501	11784
635	20537	11754
636	20566	11719
637	20593	11684
638	20619	11648
639	20642	11611
640	20661	11571
641	20679	11531
642	20698	11491
643	20717	11452
644	20735	11412
645	20756	11374
646	20783	11339
647	20804	11301
648	20828	11264
649	20848	11225
650	20866	11186
651	20883	11146
652	20900	11106
653	20917	11066
654	20934	11026
655	20953	10987
656	20969	10947
657	20986	10908
658	21009	10871
659	21031	10834
660	21052	10796
661	21069	10757
662	21086	10718
663	21102	10678
664	21119	10639
665	21137	10600
666	21156	10562
667	21173	10523
668	21189	10483
669	21207	10445
670	21224	10406
671	21241	10368
672	21261	10330
673	21278	10291
674	21295	10253
675	21312	10214
676	21329	10176
677	21346	10138
678	21364	10099
679	21381	10062
680	21398	10023
681	21415	9985
682	21432	9947
683	21449	9909
684	21471	9873
685	21488	9835
686	21505	9797
687	21522	9760
688	21541	9723
689	21558	9685
690	21577	9649
691	21596	9612
692	21616	9575
693	21637	9540
694	21657	9504
695	21678	9468
696	21702	9434
697	21732	9402
698	21755	9368
699	21776	9332
700	21796	9296
701	21819	9262
702	21842	9227
703	21864	9193
704	21886	9158
705	21906	9122
706	21926	9087
707	21950	9053
708	21974	9019
709	22004	8987
710	22025	8952
711	22053	8920
712	22080	8888
713	22109	8856
714	22137	8823
715	22158	8788
716	22178	8753
717	22198	8718
718	22215	8682
719	22235	8646
720	22252	8611
721	22269	8574
722	22285	8538
723	22306	8503
724	22323	8467
725	22340	8431
726	22362	8397
727	22379	8361
728	22396	8325
729	22418	8291
730	22440	8257
731	22462	8223
732	22486	8190
733	22508	8156
734	22532	8123
735	22550	8088
736	22568	8053
737	22586	8018
738	22603	7983
739	22619	7947
740	22638	7912
741	22658	7878
742	22687	7847
743	22718	7817
744	22738	7782
745	22757	7748
746	22774	7713
747	22791	7678
748	22809	7643
749	22827	7609
750	22843	7574
751	22861	7539
752	22878	7504
753	22896	7470
754	22918	7437
755	22939	7403
756	22965	7371
757	22987	7339
758	23012	7306
759	23035	7274
760	23060	7242
761	23087	7210
762	23115	7180
763	23141	7148
764	23167	7116
765	23195	7085
766	23225	7055
767	23254	7024
768	23280	6993
769	23313	6963
770	23345	6934
771	23398	6910
772	23449	6886
773	23654	6906
774	23722	6887
775	23802	6870
776	23868	6850
777	23907	6821
778	23964	6798
779	24021	6775
780	24093	6756
781	24169	6737
782	24239	6717
783	24291	6692
784	24358	6671
785	24428	6651
786	24525	6637
787	24730	6653
788	24765	6622
789	24798	6591
790	24830	6560
791	24857	6528
792	24893	6498
793	25015	6490
794	25058	6461
795	25087	6429
796	25119	6398
797	25192	6377
798	25253	6352
799	25285	6321
800	25317	6289
801	25346	6257
802	25374	6225
803	25401	6192
804	25434	6161
805	25459	6127
806	25489	6095
807	25515	6063
808	25541	6030
809	25568	5997
810	25597	5965
811	25622	5932
812	25654	5900
813	25687	5869
814	25715	5837
815	25745	5805
816	25773	5773
817	25800	5740
818	25831	5708
819	25874	5679
820	25917	5650
821	25956	5620
822	25992	5590
823	26024	5558
824	26080	5532
825	26109	5500
826	26138	5467
827	26165	5435
828	26191	5402
829	26218	5370
830	26245	5337
831	26269	5304
832	26293	5271
833	26317	5238
834	26343	5205
835	26379	5174
836	26405	5142
837	26429	5109
838	26458	5077
839	26484	5044
840	26508	5011
841	26535	4979
842	26560	4946
843	26587	4914
844	26614	4881
845	26649	4851
846	26679	4819
847	26705	4786
848	26731	4754
849	26755	4721
850	26780	4688
851	26804	4656
852	26828	4623
853	26856	4591
854	26882	4559
855	26909	4526
856	26935	4494
857	26960	4462
858	26985	4429
859	27012	4397
860	27039	4365
861	27063	4332
862	27087	4300
863	27111	4267
864	27138	4235
865	27163	4203
866	27189	4170
867	27216	4138
868	27242	4106
869	27269	4074
870	27298	4043
871	27328	4011
872	27360	3980
873	27391	3948
874	27423	3917
875	27464	3887
876	27503	3857
877	27533	3825
878	27564	3794
879	27595	3762
880	27626	3731
881	27653	3699
882	27682	3667
883	27708	3635
884	27734	3603
885	27759	3571
886	27859	3549
887	27907	3519
888	27939	3488
